review_id,review,rating,date,bank,source,sentiment_label,sentiment_score,identified_themes
51,bad app,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997212290763855,
52,best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,
53,nice app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998061060905457,
54,the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8869744539260864,
55,I can't access it properly I think it needs update,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996213912963867,
56,👌👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970564723014832,
57,best 👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997019171714783,
58,not Refresh,2,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9990518689155579,
59,your statement is not used as wanted,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.99908447265625,
60,good very good,5,2025-11-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998477697372437,
61,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997031092643738,
62,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9800481200218201,
63,Good !,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998268485069275,
64,i like it,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998593330383301,
65,Very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998562335968018,
66,the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996664524078369,
67,very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999656081199646,
68,tankyu,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.840437114238739,
69,Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9866906404495239,
70,"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9989122152328491,
71,loved it,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998797178268433,
72,this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996734857559204,
73,CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9640243053436279,
74,"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9985938668251038,
75,wow 😘😘😘,4,2025-11-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9992976188659668,
76,mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9918060302734375,
77,good job,5,2025-11-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999835729598999,
78,it is a good and clear apps to use,4,2025-10-31,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998574256896973,
79,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.929838240146637,
80,I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998561143875122,
81,niiceh,5,2025-10-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8779534101486206,
82,the app is good but their is no dark mode you have to add it,3,2025-10-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9965399503707886,
83,🤮,1,2025-10-29,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970564723014832,
84,abdulakim abrahim elemoo,5,2025-10-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9634568691253662,
85,strong,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999862551689148,
86,Abebaw Zenebe,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.5422855019569397,
87,good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9990962743759155,
88,Cbe,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9966009855270386,
89,Active and granted system,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.998322069644928,
90,fast app,4,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9983617663383484,
91,cool 😎,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997991919517517,
92,Galaxy A10s,3,2025-10-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8983982801437378,
93,the best apps,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998617172241211,
94,arif app new,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.5203990340232849,
95,laga Bari biranch,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9922856092453003,
96,ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970564723014832,
97,I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9949775338172913,
98,Attractive,5,2025-10-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998689889907837,
99,mite,5,2025-10-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9965571165084839,
100,useful,5,2025-10-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997634291648865,
101,"not good, not bad!",3,2025-10-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9981550574302673,
102,very good,5,2025-10-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998520612716675,
103,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9546589255332947,
104,imp,5,2025-10-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9978600144386292,
105,super fast app,5,2025-10-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9976546168327332,
106,"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9983618855476379,
107,cbe,4,2025-10-18,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9966009855270386,
108,"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991005659103394,
109,blah blah blah,5,2025-10-18,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9977899789810181,
110,bad ግዴታ መሆንሁ,1,2025-10-17,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9995405673980713,
111,CBE no.1,5,2025-10-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9968194961547852,
112,"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.996988832950592,
113,its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997401833534241,
114,gooof,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.996545135974884,
115,"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996702671051025,
116,Best app,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,
117,still not perfect like before,1,2025-10-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9995744824409485,
118,This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9985210299491882,
119,APPLIED,1,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9989719390869141,
120,10 years ago,4,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9060003161430359,
121,Asefa Obsa,5,2025-10-14,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9988316893577576,
122,it's good app,5,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998689889907837,
123,very slow,1,2025-10-14,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997065663337708,
124,berhan deriba wami,4,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.755569577217102,
125,mahamad Usman,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9890894293785095,
126,Erako,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9978224039077759,
127,🔥🔥🔥🔥🔥,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970564723014832,
128,opne,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.7972499132156372,
129,mehommd nuri,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9508017301559448,
130,Best,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,
131,providing very secure service.,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9993906021118164,
132,apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9760127663612366,
133,ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8832130432128906,
134,RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9531126022338867,
135,it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9994134902954102,
136,Mamma Husen,2,2025-10-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9694636464118958,
137,3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9932369589805603,
138,exceptional application from others bank,5,2025-10-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996663331985474,
139,"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9849932193756104,
140,good👍👍👍😊😊😊,5,2025-10-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970564723014832,
141,really good app,5,2025-10-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998643398284912,
142,smart bank CBE,5,2025-10-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9971417784690857,
143,Ali urgesa11,3,2025-10-09,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9212200045585632,
144,it's good,5,2025-10-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998360872268677,
145,Good apps,5,2025-10-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998608827590942,
146,password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8905711770057678,
147,best app i ever seen,5,2025-10-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999450147151947,
148,it's game changing in financial system,4,2025-10-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9973504543304443,
149,"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9171795845031738,
150,will good updating,5,2025-10-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998600482940674,
151,"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9994321465492249,
152,why removing screenshot feature why?,2,2025-10-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9981147050857544,
153,very good application! thank you all who participate!,5,2025-10-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998753070831299,
154,application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998462200164795,
155,user compatible app!,5,2025-10-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9933547973632812,
156,"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9972966313362122,
157,what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998732805252075,
158,Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998595714569092,
159,Asledin Ibsa,5,2025-10-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9360381364822388,
160,terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996823072433472,
161,my bank,5,2025-10-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8459091782569885,
162,Data,5,2025-10-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9617661237716675,
163,"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996047616004944,
164,excellent app with lots of features,5,2025-10-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998672008514404,
165,very good 👍 mobile banking,5,2025-10-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998119473457336,
166,so special,5,2025-10-04,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998575448989868,
167,wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9492278099060059,
168,woow cbe,5,2025-10-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8725987076759338,
169,cbe the best bank app,4,2025-10-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9993187189102173,
170,This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998519420623779,
171,Rijalufaris,5,2025-10-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.6782292127609253,
172,its Best app But i hate the Repeatedly update request,5,2025-10-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9902864098548889,
173,imoo,3,2025-10-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9941620230674744,
174,"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9915570020675659,
175,screen shoot always not allowed why?,5,2025-10-02,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9965750575065613,
176,enkorabetalen,5,2025-10-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9099953174591064,
177,Gamada mahamadi,1,2025-10-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.7746046185493469,
178,it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9974638223648071,
179,verfcasencod,5,2025-09-30,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8742532134056091,
180,you can't get your own transaction history,1,2025-09-29,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996032118797302,
181,sintu,5,2025-09-29,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.959613561630249,
182,BEST,5,2025-09-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,
183,Bank of Ethiopia,5,2025-09-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9304205179214478,
184,"All most Good, but need improvement",5,2025-09-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8200953602790833,
185,"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998365640640259,
186,poor app all of you guys delete CBE and download BOA,1,2025-09-27,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997864365577698,
187,niceapp,5,2025-09-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998270869255066,
188,the best app of all,5,2025-09-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998633861541748,
189,❤️,5,2025-09-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970564723014832,
190,"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9988370537757874,
191,Juhaar,5,2025-09-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6955288052558899,
192,I am using CBE app very fantastic.,5,2025-09-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999567449092865,
193,bist app tankyou,4,2025-09-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9962037205696106,
194,this is very useful and consistent app,5,2025-09-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998074173927307,
195,"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998519420623779,
196,So good,5,2025-09-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999841570854187,
197,it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9990800619125366,
198,"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9970171451568604,
199,It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.768789529800415,
200,"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9989680051803589,
201,very important app,4,2025-09-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9995480179786682,
202,the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998689889907837,
203,DANTRO BAND!!!,5,2025-09-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9943898320198059,
